time,source_IP,destination_IP,source_Port,destination_Port,package_length
0.009548,39.1.101.199,192.168.212.37,3659,3659,69
0.020494,192.168.212.37,39.1.101.199,3659,3659,69
0.028471,39.1.101.199,192.168.212.37,3659,3659,69
0.044453,192.168.212.37,39.1.101.199,3659,3659,69
0.04942,39.1.101.199,192.168.212.37,3659,3659,69
0.068367,192.168.212.37,39.1.101.199,3659,3659,69
0.069362,39.1.101.199,192.168.212.37,3659,3659,69
0.078338,35.215.187.112,192.168.212.37,50001,60001,60
0.09014,192.168.212.37,39.1.101.199,3659,3659,69
0.091136,39.1.101.199,192.168.212.37,3659,3659,69
0.111083,39.1.101.199,192.168.212.37,3659,3659,69
0.114077,192.168.212.37,39.1.101.199,3659,3659,69
0.132623,39.1.101.199,192.168.212.37,3659,3659,69
0.137581,192.168.212.37,39.1.101.199,3659,3659,69
0.152537,39.1.101.199,192.168.212.37,3659,3659,69
0.161514,192.168.212.37,39.1.101.199,3659,3659,69
0.173481,39.1.101.199,192.168.212.37,3659,3659,69
0.185452,192.168.212.37,39.1.101.199,3659,3659,69
0.19545,39.1.101.199,192.168.212.37,3659,3659,69
0.208409,192.168.212.37,39.1.101.199,3659,3659,69
0.215429,39.1.101.199,192.168.212.37,3659,3659,69
0.231349,192.168.212.37,39.1.101.199,3659,3659,69
0.23636,39.1.101.199,192.168.212.37,3659,3659,69
0.255284,192.168.212.37,39.1.101.199,3659,3659,69
0.257277,39.1.101.199,192.168.212.37,3659,3659,69
0.278222,39.1.101.199,192.168.212.37,3659,3659,69
0.278222,192.168.212.37,39.1.101.199,3659,3659,69
0.298172,39.1.101.199,192.168.212.37,3659,3659,69
0.302159,192.168.212.37,39.1.101.199,3659,3659,69
0.320139,39.1.101.199,192.168.212.37,3659,3659,69
0.326095,192.168.212.37,39.1.101.199,3659,3659,69
0.341053,39.1.101.199,192.168.212.37,3659,3659,69
0.349034,192.168.212.37,39.1.101.199,3659,3659,69
0.361997,39.1.101.199,192.168.212.37,3659,3659,69
0.371971,192.168.212.37,39.1.101.199,3659,3659,69
0.382942,39.1.101.199,192.168.212.37,3659,3659,69
0.395908,192.168.212.37,39.1.101.199,3659,3659,69
0.40303,39.1.101.199,192.168.212.37,3659,3659,69
0.41952,192.168.212.37,39.1.101.199,3659,3659,69
0.42348,39.1.101.199,192.168.212.37,3659,3659,69
0.442425,192.168.212.37,39.1.101.199,3659,3659,69
0.444419,39.1.101.199,192.168.212.37,3659,3659,69
0.465364,39.1.101.199,192.168.212.37,3659,3659,69
0.466361,192.168.212.37,39.1.101.199,3659,3659,69
0.486308,39.1.101.199,192.168.212.37,3659,3659,69
0.4893,192.168.212.37,39.1.101.199,3659,3659,69
0.507256,39.1.101.199,192.168.212.37,3659,3659,69
0.513236,192.168.212.37,39.1.101.199,3659,3659,69
0.528195,39.1.101.199,192.168.212.37,3659,3659,69
0.537172,192.168.212.37,39.1.101.199,3659,3659,69
0.54914,39.1.101.199,192.168.212.37,3659,3659,69
0.560111,192.168.212.37,39.1.101.199,3659,3659,69
0.569086,39.1.101.199,192.168.212.37,3659,3659,69
0.584055,192.168.212.37,39.1.101.199,3659,3659,69
0.590034,39.1.101.199,192.168.212.37,3659,3659,69
0.607549,192.168.212.37,39.1.101.199,3659,3659,69
0.611538,39.1.101.199,192.168.212.37,3659,3659,69
0.630683,192.168.212.37,39.1.101.199,3659,3659,69
0.632678,39.1.101.199,192.168.212.37,3659,3659,69
0.653622,39.1.101.199,192.168.212.37,3659,3659,69
0.654619,192.168.212.37,39.1.101.199,3659,3659,69
0.673571,39.1.101.199,192.168.212.37,3659,3659,69
0.67756,192.168.212.37,39.1.101.199,3659,3659,69
0.694515,39.1.101.199,192.168.212.37,3659,3659,69
0.700498,192.168.212.37,39.1.101.199,3659,3659,69
0.714968,39.1.101.199,192.168.212.37,3659,3659,69
0.723944,192.168.212.37,39.1.101.199,3659,3659,69
0.736466,39.1.101.199,192.168.212.37,3659,3659,69
0.74644,192.168.212.37,39.1.101.199,3659,3659,53
0.748434,192.168.212.37,39.1.101.199,3659,3659,69
0.756416,39.1.101.199,192.168.212.37,3659,3659,69
0.771372,192.168.212.37,39.1.101.199,3659,3659,69
0.775362,39.1.101.199,192.168.212.37,3659,3659,34
0.777356,39.1.101.199,192.168.212.37,3659,3659,53
0.778354,39.1.101.199,192.168.212.37,3659,3659,69
0.795309,192.168.212.37,39.1.101.199,3659,3659,69
0.7983,39.1.101.199,192.168.212.37,3659,3659,69
0.81878,39.1.101.199,192.168.212.37,3659,3659,69
0.819777,192.168.212.37,39.1.101.199,3659,3659,69
0.840721,39.1.101.199,192.168.212.37,3659,3659,69
0.842716,192.168.212.37,39.1.101.199,3659,3659,69
0.860268,39.1.101.199,192.168.212.37,3659,3659,37
0.861261,192.168.212.37,39.1.101.199,3659,3659,34
0.861261,39.1.101.199,192.168.212.37,3659,3659,69
0.865376,192.168.212.37,39.1.101.199,3659,3659,37
0.866883,192.168.212.37,39.1.101.199,3659,3659,69
0.882842,39.1.101.199,192.168.212.37,3659,3659,69
0.882842,192.168.212.37,192.168.212.1,60406,53,58
0.882842,192.168.212.37,192.168.212.1,56783,53,58
0.887827,192.168.212.1,192.168.212.37,53,60406,181
0.888825,192.168.212.1,192.168.212.37,53,56783,222
0.889821,192.168.212.37,192.168.212.1,50769,53,58
0.889821,192.168.212.37,39.1.101.199,3659,3659,69
0.89381,192.168.212.1,192.168.212.37,53,50769,178
