2.421704,142.250.196.206,192.168.50.90,443,51558,119,2,437240299
2.421994,142.250.196.206,192.168.50.90,443,51558,71,2,437240378
2.422165,192.168.50.90,142.250.196.206,51558,443,40,1,787035741
2.422484,142.250.196.206,192.168.50.90,443,51558,79,2,437240409
2.422724,192.168.50.90,142.250.196.206,51558,443,79,2,787035741
2.422905,142.250.196.206,192.168.50.90,443,51558,40,1,437240448
2.42308,20.42.73.24,192.168.50.90,443,62524,40,1,1923951009
2.556135,162.159.134.234,192.168.50.90,443,61247,173,2,1962509687
2.600682,192.168.50.90,162.159.134.234,61247,443,40,1,1930382769
2.787408,127.0.0.1,127.0.0.1,62526,1120,52,1,242814230
2.788092,127.0.0.1,127.0.0.1,1120,62526,52,2,395141311
2.789573,127.0.0.1,127.0.0.1,62526,1120,40,1,242814231
2.790832,127.0.0.1,127.0.0.1,62526,1120,183,2,242814231
2.791628,127.0.0.1,127.0.0.1,1120,62526,40,1,395141312
2.792533,127.0.0.1,127.0.0.1,1120,62526,57,2,395141312
2.793164,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.793842,127.0.0.1,127.0.0.1,1120,62526,61,2,395141329
2.794385,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.795091,127.0.0.1,127.0.0.1,1120,62526,77,2,395141350
2.795494,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.795736,127.0.0.1,127.0.0.1,1120,62526,59,2,395141387
2.795899,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.796083,127.0.0.1,127.0.0.1,1120,62526,42,2,395141406
2.796244,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.796462,127.0.0.1,127.0.0.1,1120,62526,859,2,395141408
2.796619,127.0.0.1,127.0.0.1,62526,1120,40,1,242814374
2.796772,127.0.0.1,127.0.0.1,62526,1120,40,2,242814374
2.79692,127.0.0.1,127.0.0.1,1120,62526,40,1,395142227
2.797084,127.0.0.1,127.0.0.1,1120,62526,40,2,395142227
2.797236,127.0.0.1,127.0.0.1,62526,1120,40,1,242814375
2.816922,127.0.0.1,127.0.0.1,62525,28194,52,1,974380923
2.817236,127.0.0.1,127.0.0.1,28194,62525,40,2,0
3.080099,192.168.50.90,192.168.1.1,54715,5351,88
3.324411,127.0.0.1,127.0.0.1,62525,28194,52,1,974380923
3.324904,127.0.0.1,127.0.0.1,28194,62525,40,2,0
3.431263,142.250.198.74,192.168.50.90,443,58661,268,2,3720537919
3.431661,192.168.50.90,142.250.198.74,58661,443,75,2,2160355578
3.431963,192.168.50.90,142.250.198.74,58661,443,75,2,2160355613
3.432169,142.250.198.74,192.168.50.90,443,58661,40,1,3720538147
3.432593,142.250.198.74,192.168.50.90,443,58661,40,1,3720538147
3.832696,127.0.0.1,127.0.0.1,62525,28194,52,1,974380923
3.833142,127.0.0.1,127.0.0.1,28194,62525,40,2,0
3.941865,192.168.50.90,142.250.196.195,54115,443,41,1,2843229370
3.942125,142.250.196.195,192.168.50.90,443,54115,52,1,3718417693
4.080476,192.168.50.90,192.168.1.1,54715,5351,88
4.344247,127.0.0.1,127.0.0.1,62525,28194,52,1,974380923
4.344844,127.0.0.1,127.0.0.1,28194,62525,40,2,0
4.540355,162.159.134.234,192.168.50.90,443,61247,797,2,1962509820
4.590976,192.168.50.90,162.159.134.234,61247,443,40,1,1930382769
5.079554,192.168.50.90,192.168.1.1,61530,5351,88
5.358606,127.0.0.1,127.0.0.1,62527,28194,52,1,405434539
5.358966,127.0.0.1,127.0.0.1,28194,62527,40,2,0
5.790545,127.0.0.1,127.0.0.1,62528,1120,52,1,3940050340
5.791821,127.0.0.1,127.0.0.1,1120,62528,52,2,1011364522
5.792765,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050341
