0.010851,74.125.247.128,192.168.50.90,3478,50640,97
0.013612,74.125.247.128,192.168.50.90,3478,50640,69
0.013999,192.168.50.90,74.125.247.128,50640,3478,69
0.016407,192.168.50.90,74.125.247.128,50640,3478,629
0.016664,192.168.50.90,74.125.247.128,50640,3478,125
0.02533,192.168.50.90,74.125.247.128,50640,3478,454
0.025599,192.168.50.90,74.125.247.128,50640,3478,471
0.047714,74.125.247.128,192.168.50.90,3478,50640,97
0.048197,74.125.247.128,192.168.50.90,3478,50640,50
0.048489,74.125.247.128,192.168.50.90,3478,50640,97
0.048775,192.168.50.90,74.125.247.128,50640,3478,69
0.054458,74.125.247.128,192.168.50.90,3478,50640,69
0.05622,192.168.50.90,74.125.247.128,50640,3478,460
0.061852,192.168.50.90,74.125.247.128,50640,3478,633
0.062259,192.168.50.90,74.125.247.128,50640,3478,125
0.070485,74.125.247.128,192.168.50.90,3478,50640,97
0.088247,192.168.50.90,74.125.247.128,50640,3478,444
0.088546,192.168.50.90,74.125.247.128,50640,3478,477
0.107146,192.168.50.90,74.125.247.128,50640,3478,700
0.107407,192.168.50.90,74.125.247.128,50640,3478,141
0.108426,74.125.247.128,192.168.50.90,3478,50640,54
0.116548,74.125.247.128,192.168.50.90,3478,50640,69
0.119426,192.168.50.90,74.125.247.128,50640,3478,461
0.119732,192.168.50.90,74.125.247.128,50640,3478,461
0.146587,74.125.247.128,192.168.50.90,3478,50640,97
0.146854,74.125.247.128,192.168.50.90,3478,50640,54
0.147067,74.125.247.128,192.168.50.90,3478,50640,69
0.14728,192.168.50.90,74.125.247.128,50640,3478,69
0.149969,192.168.50.90,74.125.247.128,50640,3478,460
0.153394,192.168.50.90,74.125.247.128,50640,3478,98
0.157041,192.168.50.90,74.125.247.128,50640,3478,668
0.157297,192.168.50.90,74.125.247.128,50640,3478,125
0.169623,74.125.247.128,192.168.50.90,3478,50640,97
0.177595,74.125.247.128,192.168.50.90,3478,50640,97
0.177905,192.168.50.90,74.125.247.128,50640,3478,69
0.180981,192.168.50.90,74.125.247.128,50640,3478,457
0.181247,192.168.50.90,74.125.247.128,50640,3478,447
0.19694,74.125.247.128,192.168.50.90,3478,50640,97
0.199983,192.168.50.90,74.125.247.128,50640,3478,748
0.200256,192.168.50.90,74.125.247.128,50640,3478,141
0.201201,74.125.247.128,192.168.50.90,3478,50640,54
0.211917,192.168.50.90,74.125.247.128,50640,3478,440
0.234251,192.168.50.90,74.125.247.128,50640,3478,654
0.234532,192.168.50.90,74.125.247.128,50640,3478,125
0.234944,74.125.247.128,192.168.50.90,3478,50640,97
0.235503,74.125.247.128,192.168.50.90,3478,50640,69
0.235945,192.168.50.90,74.125.247.128,50640,3478,69
0.236281,74.125.247.128,192.168.50.90,3478,50640,97
0.236525,74.125.247.128,192.168.50.90,3478,50640,69
0.236756,192.168.50.90,74.125.247.128,50640,3478,69
0.237039,192.168.50.90,74.125.247.128,50640,3478,1229
0.237281,192.168.50.90,74.125.247.128,50640,3478,1229
0.237538,192.168.50.90,74.125.247.128,50640,3478,1229
0.237771,192.168.50.90,74.125.247.128,50640,3478,701
0.243137,192.168.50.90,74.125.247.128,50640,3478,438
0.243482,192.168.50.90,74.125.247.128,50640,3478,445
0.258843,74.125.247.128,192.168.50.90,3478,50640,97
0.25926,74.125.247.128,192.168.50.90,3478,50640,54
0.263712,74.125.247.128,192.168.50.90,3478,50640,69
0.264108,192.168.50.90,74.125.247.128,50640,3478,69
0.267845,192.168.50.90,74.125.247.128,50640,3478,715
0.268104,192.168.50.90,74.125.247.128,50640,3478,125
0.271591,74.125.247.128,192.168.50.90,3478,50640,69
0.273638,74.125.247.128,192.168.50.90,3478,50640,97
0.274094,192.168.50.90,74.125.247.128,50640,3478,445
0.279474,74.125.247.128,192.168.50.90,3478,50640,69
0.279715,192.168.50.90,74.125.247.128,50640,3478,69
0.29366,74.125.247.128,192.168.50.90,3478,50640,97
0.302503,74.125.247.128,192.168.50.90,3478,50640,50
0.304186,74.125.247.128,192.168.50.90,3478,50640,97
0.304668,192.168.50.90,74.125.247.128,50640,3478,69
0.305381,192.168.50.90,74.125.247.128,50640,3478,474
0.305633,192.168.50.90,74.125.247.128,50640,3478,539
0.312606,192.168.50.90,74.125.247.128,50640,3478,953
0.312864,192.168.50.90,74.125.247.128,50640,3478,125
0.319121,74.125.247.128,192.168.50.90,3478,50640,69
0.323476,74.125.247.128,192.168.50.90,3478,50640,69
0.326562,74.125.247.128,192.168.50.90,3478,50640,69
