time,source_IP,destination_IP,source_Port,destination_Port,package_length
0.986527,192.168.212.37,39.1.101.199,3659,3659,69
0.992511,39.1.101.199,192.168.212.37,3659,3659,69
1.002485,35.215.187.112,192.168.212.37,50001,50697,80
1.004482,192.168.212.37,39.1.101.199,3659,3659,69
1.013456,39.1.101.199,192.168.212.37,3659,3659,69
1.022432,192.168.212.37,39.1.101.199,3659,3659,69
1.0344,39.1.101.199,192.168.212.37,3659,3659,69
1.041382,192.168.212.37,39.1.101.199,3659,3659,69
1.055343,39.1.101.199,192.168.212.37,3659,3659,69
1.059334,192.168.212.37,39.1.101.199,3659,3659,69
1.077284,39.1.101.199,192.168.212.37,3659,3659,69
1.077284,192.168.212.37,39.1.101.199,3659,3659,69
1.096235,192.168.212.37,39.1.101.199,3659,3659,69
1.097232,39.1.101.199,192.168.212.37,3659,3659,69
1.114189,192.168.212.37,39.1.101.199,3659,3659,69
1.117183,39.1.101.199,192.168.212.37,3659,3659,69
1.132688,192.168.212.37,39.1.101.199,3659,3659,69
1.138671,39.1.101.199,192.168.212.37,3659,3659,69
1.15064,192.168.212.37,39.1.101.199,3659,3659,69
1.152634,39.1.101.199,192.168.212.37,3659,3659,64
1.159309,39.1.101.199,192.168.212.37,3659,3659,69
1.169634,192.168.212.37,39.1.101.199,3659,3659,69
1.1796,39.1.101.199,192.168.212.37,3659,3659,69
1.188134,192.168.212.37,39.1.101.199,3659,3659,69
1.202637,39.1.101.199,192.168.212.37,3659,3659,69
1.207624,192.168.212.37,39.1.101.199,3659,3659,69
1.222582,39.1.101.199,192.168.212.37,3659,3659,69
1.230563,192.168.212.37,39.1.101.199,3659,3659,69
1.243526,39.1.101.199,192.168.212.37,3659,3659,69
1.252504,192.168.212.37,39.1.101.199,3659,3659,69
1.264473,39.1.101.199,192.168.212.37,3659,3659,69
1.272451,192.168.212.37,39.1.101.199,3659,3659,69
1.285414,39.1.101.199,192.168.212.37,3659,3659,69
1.293393,192.168.212.37,39.1.101.199,3659,3659,69
1.306358,39.1.101.199,192.168.212.37,3659,3659,69
1.313342,192.168.212.37,39.1.101.199,3659,3659,69
1.327304,39.1.101.199,192.168.212.37,3659,3659,69
1.335282,192.168.212.37,39.1.101.199,3659,3659,69
1.347248,39.1.101.199,192.168.212.37,3659,3659,69
1.355825,192.168.212.37,39.1.101.199,3659,3659,69
1.36879,39.1.101.199,192.168.212.37,3659,3659,69
1.37577,192.168.212.37,39.1.101.199,3659,3659,69
1.389732,39.1.101.199,192.168.212.37,3659,3659,69
1.395718,192.168.212.37,39.1.101.199,3659,3659,69
1.409684,39.1.101.199,192.168.212.37,3659,3659,69
1.415664,192.168.212.37,39.1.101.199,3659,3659,69
1.430628,39.1.101.199,192.168.212.37,3659,3659,69
1.43561,192.168.212.37,39.1.101.199,3659,3659,69
1.450575,39.1.101.199,192.168.212.37,3659,3659,69
1.455557,192.168.212.37,39.1.101.199,3659,3659,69
1.45755,39.1.101.199,192.168.212.37,3659,3659,64
1.474507,39.1.101.199,192.168.212.37,3659,3659,69
1.476502,192.168.212.37,39.1.101.199,3659,3659,69
1.493455,39.1.101.199,192.168.212.37,3659,3659,69
1.496448,192.168.212.37,39.1.101.199,3659,3659,69
1.514403,39.1.101.199,192.168.212.37,3659,3659,69
1.516393,192.168.212.37,39.1.101.199,3659,3659,69
1.535344,39.1.101.199,192.168.212.37,3659,3659,69
