timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
0.998851,127.0.0.1,127.0.0.1,60012,28194,1,0.22076,112,88,4058.706287,3188.983512,2,2,2117728918,0
2.382622,104.18.39.21,192.168.212.39,443,59336,1,0.221479,138,82,4984.671233,2961.906095,2,1,2919392917,1980769248
3.813902,35.208.25.129,192.168.212.39,64182,9993,0,0.111486,70,79,5023.052222,5668.873222,1,1,0,0
10.335645,192.168.212.34,224.0.0.253,52169,3544,0,0.0,82,0,0.0,0.0,1,0,0,0
13.655789,142.250.198.74,192.168.212.39,443,54445,0,0.111863,74,75,5292.187765,5363.703816,1,1,0,0
17.083592,192.168.212.39,74.125.23.188,53630,5228,1,0.11001,55,66,3999.636397,4799.563676,1,1,2593499519,2662548391
22.034104,192.168.212.39,192.168.212.1,56015,53,0,0.108955,94,254,6901.93199,18649.901335,1,1,0,0
22.251815,192.168.212.39,104.116.243.25,60017,443,1,1.437889,3150,1417,17525.692178,7883.779624,7,7,2779045185,2605316642
13.879403,147.92.185.2,192.168.212.39,443,58646,1,14.432435,3017,883,1672.344272,489.453096,10,6,1097653791,3931592489
24.235834,192.168.212.39,40.81.252.176,58844,3544,0,5.505781,206,151,299.321749,219.405748,2,1,0,0
25.341443,192.168.212.39,104.116.243.25,60018,443,1,3.080239,3530,14927,9168.119747,38768.420243,12,16,3999927085,657002202
35.533063,26.17.54.25,224.0.0.251,5353,5353,0,0.78164,932,0,9538.918172,0.0,6,0,0,0
36.170367,192.168.212.39,51.105.71.137,59972,443,1,0.143502,108,60,6020.822009,3344.901116,2,1,441887604,2445163117
37.742184,142.250.198.74,192.168.212.39,443,54445,0,0.110303,74,75,5367.034441,5439.561934,1,1,0,0
42.139816,26.202.125.243,103.195.103.66,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.140584,26.202.125.243,103.195.103.66,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.141056,26.202.125.243,103.195.103.66,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.141508,26.202.125.243,79.127.159.187,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.142081,26.202.125.243,79.127.159.187,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.14251,26.202.125.243,79.127.159.187,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.143002,26.202.125.243,84.17.53.155,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.143509,26.202.125.243,84.17.53.155,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.143958,26.202.125.243,84.17.53.155,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.144456,26.202.125.243,185.152.67.145,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.144895,26.202.125.243,185.152.67.145,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
42.145374,26.202.125.243,185.152.67.145,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
44.012989,104.18.39.21,192.168.212.39,443,59336,1,0.217083,138,82,5085.612416,3021.885638,2,1,2919392941,1980769276
36.972445,35.208.25.129,192.168.212.39,64182,9993,0,9.127269,249,180,218.247101,157.768989,2,2,0,0
56.359821,192.168.212.39,23.209.217.128,59999,80,1,0.438605,108,60,1969.881784,1094.378769,2,1,3105234125,3502021161
56.469139,192.168.212.39,142.250.198.67,60000,80,1,0.550533,108,60,1569.388211,871.882339,2,1,268399692,3067945216
56.578896,192.168.212.39,146.75.114.172,60001,80,1,0.98823,108,120,874.290398,971.433776,2,2,1967931395,2460983018
58.228185,142.250.198.74,192.168.212.39,443,54445,0,0.109151,74,75,5423.679123,5496.972085,1,1,0,0
59.881371,147.92.185.2,192.168.212.39,443,58646,1,2.088594,2880,792,11031.344531,3033.619746,8,5,1097656238,3931593048
63.725895,192.168.212.39,64.233.188.188,59311,5228,1,0.110888,55,66,3967.967679,4761.561215,1,1,3069458978,1235950534
69.565937,192.168.212.39,78.47.130.173,64693,443,1,0.438314,144,90,2628.252805,1642.658003,2,1,54176085,202166595
59.549963,192.168.212.39,175.183.33.121,64695,49695,1,19.714697,634,2196,257.269995,891.111844,11,13,820026004,350197585
