timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
0.340026,127.0.0.1,127.0.0.1,6463,51782,1,0.651801,1322,132,16225.811252,1620.126388,3,3,3538632029,3404953849
0.985615,127.0.0.1,127.0.0.1,49728,49727,1,0.005216,135,132,207055.214724,202453.98773,3,3,3385470669,3780737595
0.986613,127.0.0.1,127.0.0.1,49721,49722,1,0.004218,135,132,256045.519203,250355.618777,3,3,3416727796,4203557658
1.131048,192.168.212.35,192.168.212.1,50819,53,0,0.000997,92,215,738214.643932,1725175.52658,1,1,0,0
1.137679,192.168.212.35,40.81.252.176,52169,3544,0,0.005358,103,151,153788.727137,225457.260172,1,1,0,0
1.105759,162.159.134.234,192.168.212.35,443,64698,1,9.05646,584,108,515.874856,95.401514,2,2,2468166323,2067510420
1.130051,192.168.212.35,52.178.17.233,58817,443,1,10.01146,6839,393,5464.937182,314.04011,3,5,1130517154,2298978412
1.132045,192.168.212.35,13.89.179.13,58828,443,1,11.20358,10096,5960,7209.124226,4255.782527,10,14,3375506911,780546366
33.392054,26.77.150.215,224.0.0.251,5353,5353,0,1.014968,1277,0,10065.341962,0.0,6,0,0,0
33.502827,192.168.190.1,224.0.0.251,5353,5353,0,1.012015,1221,0,9652.030849,0.0,6,0,0,0
33.503886,192.168.153.1,224.0.0.251,5353,5353,0,1.11635,1221,0,8749.944014,0.0,6,0,0,0
34.943062,192.168.190.1,192.168.190.254,68,67,0,0.109346,342,342,25021.491413,25021.491413,1,1,0,0
34.943062,192.168.153.1,192.168.153.254,68,67,0,0.109346,342,342,25021.491413,25021.491413,1,1,0,0
47.652719,192.168.212.35,39.1.101.199,64700,49684,1,4.002561,202,208,403.741505,415.733826,3,3,3880169076,2831538939
54.584946,192.168.212.35,114.37.137.160,64701,50143,1,1.132851,202,208,1426.48945,1468.860424,3,3,2511234563,96252426
55.932206,26.198.224.132,239.255.255.250,60971,1900,0,2.576505,848,0,2633.024194,0.0,4,0,0,0
93.649393,192.168.212.35,52.73.67.192,64935,443,1,3.74825,2020,1304,4311.345294,2783.165477,3,2,3546280363,525180476
84.280619,44.194.135.116,192.168.212.35,443,51820,1,17.762716,7641,305,3441.365611,137.36638,8,5,934515461,2917385534
116.936121,26.54.54.12,239.255.255.250,56613,1900,0,3.020633,848,0,2245.886872,0.0,4,0,0,0
118.942794,39.1.101.199,192.168.212.35,49684,64700,1,3.83236,2464,216,5143.566888,450.897097,8,4,2831538979,3880169116
139.324216,39.1.101.199,192.168.212.35,49684,64700,1,1.949504,2464,162,10111.289846,664.784479,8,3,2831541011,3880169116
146.29332,192.168.212.35,103.28.54.101,54842,27025,1,0.325924,113,60,2773.652753,1472.735975,1,1,1902133071,2474825153
154.209195,26.77.150.215,224.0.0.251,5353,5353,0,1.082918,1277,0,9433.770609,0.0,6,0,0,0
154.425929,192.168.190.1,224.0.0.251,5353,5353,0,0.973037,1221,0,10038.672733,0.0,6,0,0,0
154.426926,192.168.153.1,224.0.0.251,5353,5353,0,1.080735,1221,0,9038.293384,0.0,6,0,0,0
154.746378,192.168.212.35,162.159.130.235,64744,443,1,1.95527,181,110,740.562684,450.06572,2,1,3518247640,2246142102
171.732691,39.1.101.199,192.168.212.35,49684,64700,1,3.12646,2464,216,6304.894353,552.701778,8,4,2831543043,3880169116
176.015884,26.198.224.132,239.255.255.250,60176,1900,0,2.495119,848,0,2718.908397,0.0,4,0,0,0
236.964254,26.54.54.12,239.255.255.250,61579,1900,0,3.09513,848,0,2191.830392,0.0,4,0,0,0
248.401714,39.1.101.199,192.168.212.35,49684,64700,1,2.7731,2464,216,7108.290361,623.12935,8,4,2831545075,3880169116
261.470939,192.168.212.35,52.123.170.76,64492,443,1,2.047131,165,100,644.804851,390.790819,2,1,818464518,3861843512
275.020165,26.77.150.215,224.0.0.251,5353,5353,0,1.004368,1277,0,10171.57058,0.0,6,0,0,0
275.128464,192.168.190.1,224.0.0.251,5353,5353,0,1.005657,1221,0,9713.053258,0.0,6,0,0,0
275.130532,192.168.153.1,224.0.0.251,5353,5353,0,1.108259,1221,0,8813.824205,0.0,6,0,0,0
284.334929,162.159.134.234,192.168.212.35,443,64698,1,0.434963,209,54,3844.005122,993.187926,2,1,2468166799,2067510420
0.555791,35.215.146.191,192.168.212.35,50004,52586,0,294.990904,90756,44036,2461.255551,1194.233433,598,290,0,0
296.087776,26.198.224.132,239.255.255.250,64944,1900,0,2.438861,848,0,2781.626341,0.0,4,0,0,0
301.942317,162.159.134.234,192.168.212.35,443,64698,1,0.43272,691,54,12775.004622,998.336106,1,1,2468166900,2067510420
317.076586,192.168.212.35,52.73.67.192,58827,443,1,4.232771,4598,2287,8690.28823,4322.463937,3,4,755658478,3865618570
316.858943,192.168.212.35,34.204.4.83,58811,443,1,5.320441,6155,1497,9254.871918,2250.941228,3,3,3809026271,3265835801
332.941795,192.168.212.35,52.73.67.192,64935,443,1,5.620526,1405,1334,1999.812829,1898.754672,3,2,3546282221,525181666
317.726392,192.168.212.35,103.28.54.101,54842,27025,1,25.564412,641,1190,200.591353,372.392684,6,7,1902133130,2474825153
334.028849,44.194.135.116,192.168.212.35,443,51820,1,13.591281,1001,197,589.201268,115.956693,4,3,934522664,2917385569
356.996025,26.54.54.12,239.255.255.250,59751,1900,0,3.135308,848,0,2163.742765,0.0,4,0,0,0
361.761392,192.168.212.35,1.160.137.196,52169,55989,0,1.412611,346,346,1959.492033,1959.492033,3,3,0,0
364.255121,192.168.212.35,162.159.130.235,64744,443,1,1.191998,181,110,1214.767139,738.256272,2,1,3518247713,2246142158
353.900759,39.1.101.199,192.168.212.35,49684,64700,1,18.241336,4928,432,2161.245207,189.459807,16,8,2831547107,3880169116
377.544088,192.168.212.35,192.168.212.1,56029,53,0,0.217136,71,151,2615.87208,5563.333579,1,1,0,0
377.651625,192.168.212.35,192.168.212.1,59332,53,0,0.21964,71,120,2586.0499,4370.788563,1,1,0,0
