timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
1.035825,35.215.146.191,192.168.212.37,50004,55774,0,2.812398,6914,0,19667.202153,0.0,30,0,0,0
3.511227,142.250.66.78,192.168.212.37,443,56657,0,0.103998,2987,8432,229773.649493,648627.858228,7,13,0,0
58.891558,192.168.212.37,35.215.146.191,55774,50004,0,0.0,131,0,0.0,0.0,1,0,0,0
75.522561,192.168.212.37,35.215.146.191,55774,50004,0,8.150019,265,179,260.122093,175.705112,1,1,0,0
116.458999,192.168.212.37,35.215.146.191,55774,50004,0,9.961288,239,269,191.94305,216.03632,1,1,0,0
177.210472,35.215.146.191,192.168.212.37,50004,55774,0,0.0,257,0,0.0,0.0,1,0,0,0
0.965826,103.147.22.62,192.168.212.37,443,55391,1,207.945716,2356559,52825,90660.545274,2032.26115,1608,920,1650861318,2129297035
0.860803,119.31.191.134,192.168.212.37,443,55390,1,214.637781,1744814,39012,65032.875084,1454.059013,1191,669,1781777171,3272128625
0.968827,119.31.191.130,192.168.212.37,443,55371,1,214.421757,2812956,67518,104950.394563,2519.072726,1919,1156,250147717,1649813167
0.986829,103.147.22.60,192.168.212.37,443,55392,1,212.899613,1832178,37755,68846.644639,1418.696801,1250,674,2366820999,4923891
218.741897,135.171.2.152,192.168.212.37,443,55455,1,0.0,60,0,0.0,0.0,1,0,1797534288,0
215.605603,35.215.146.191,192.168.212.37,50004,57804,0,22.687514,33110,3246,11675.144311,1144.594335,172,17,0,0
239.267158,192.168.212.37,103.28.54.100,55351,27023,1,0.32351,113,60,2794.349479,1483.725387,1,1,3892450952,1083084305
249.916623,192.168.212.37,162.159.138.234,55092,443,1,0.42717,181,110,3389.751153,2060.069761,2,1,1032174128,433458512
251.101813,192.168.212.37,192.168.212.1,58612,53,0,0.219418,78,158,2843.88701,5760.6942,1,1,0,0
251.210572,192.168.212.37,192.168.212.1,59529,53,0,0.218465,78,202,2856.29277,7397.065892,1,1,0,0
251.537823,192.168.212.37,162.159.134.233,58245,443,0,2.165062,2499,3049,9233.915703,11266.190068,9,9,0,0
253.81076,192.168.212.37,162.159.136.232,55190,443,0,0.650048,1004,876,12356.010633,10780.742345,2,3,0,0
258.565171,192.168.212.37,23.201.12.78,55434,443,1,0.10895,55,66,4038.549793,4846.259752,1,1,334528596,282378888
263.961661,103.28.54.100,192.168.212.37,27023,55351,1,0.325271,333,54,8190.093799,1328.123319,1,1,1083084305,3892451011
278.128279,192.168.212.37,199.232.211.52,55385,443,1,0.322083,55,66,1366.107494,1639.328993,1,1,2051282475,3199884615
290.690594,192.168.212.37,146.75.47.52,55437,443,1,0.323644,55,66,1359.518483,1631.42218,1,1,1506934665,2802372689
291.124168,192.168.212.37,146.75.47.52,55388,443,1,0.106086,55,66,4147.57838,4977.094056,1,1,3583143552,2906887970
291.33854,192.168.212.37,23.41.142.46,55379,443,1,0.111288,55,66,3953.705701,4744.446841,1,1,683988527,2515154107
292.197891,192.168.212.37,23.220.197.136,55374,443,1,0.106922,55,66,4115.149361,4938.179233,1,1,1641772045,3237413774
294.900397,192.168.212.37,23.220.197.136,55439,443,1,0.107669,55,66,4086.598742,4903.918491,1,1,1179655985,3232210015
295.334818,192.168.212.37,146.75.47.52,55438,443,1,0.322598,55,66,1363.926621,1636.711945,1,1,2598055864,3642252068
321.449629,192.168.212.37,192.168.212.1,53647,53,0,0.436011,82,98,1504.549197,1798.119772,1,1,0,0
321.558623,192.168.212.37,192.168.212.1,49664,53,0,0.540999,82,146,1212.571557,2158.968871,1,1,0,0
321.991624,192.168.212.37,192.168.212.1,63981,53,0,0.323003,74,144,1832.800315,3566.530342,1,1,0,0
322.635624,192.168.212.37,192.168.212.1,51087,53,0,0.542015,82,155,1210.298608,2287.759564,1,1,0,0
322.742621,192.168.212.37,192.168.212.1,62027,53,0,0.543007,82,194,1208.087557,2858.158366,1,1,0,0
321.667633,192.168.212.37,23.220.197.136,55374,443,1,8.724878,2846,953,2609.549383,873.823107,3,3,1641772046,3237413774
324.576175,192.168.212.37,103.28.54.100,55351,27023,1,8.28727,616,587,594.646971,566.652227,3,2,3892451011,1083084584
332.650446,192.168.212.37,192.168.212.1,64198,53,0,0.108001,85,332,6296.237998,24592.364886,1,1,0,0
322.851637,192.168.212.37,146.75.47.52,55388,443,1,11.196847,1632,21471,1166.042548,15340.747266,19,24,3583143553,2906887970
