timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
2.5379,192.168.212.39,52.138.229.66,59398,443,1,2.422622,2495,213,8239.007158,703.37015,4,2,595193458,3409309538
3.309401,192.168.212.39,192.168.212.1,49154,53,0,0.110362,92,212,6668.962143,15367.608416,1,1,0,0
3.529845,192.168.212.39,20.42.73.27,59666,443,1,5.302166,3587,5780,5412.127798,8720.964225,11,11,2901382297,855281537
7.175009,142.250.198.74,192.168.212.39,443,54445,0,0.111048,74,75,5331.028024,5403.068943,1,1,0,0
9.054104,104.18.39.21,192.168.212.39,443,59336,1,0.221443,138,82,4985.481591,2962.387612,2,1,2919391035,1980766910
20.964247,142.250.198.68,192.168.212.39,443,56237,0,0.0,108,0,0.0,0.0,1,0,0,0
22.94462,192.168.212.39,74.125.23.188,53630,5228,1,0.110946,55,66,3965.893317,4759.071981,1,1,2593499493,2662548365
25.909131,192.168.212.39,140.82.114.22,59661,443,1,2.645881,6164,796,18637.270535,2406.75979,7,4,2271478916,2426467176
28.879559,192.168.212.39,172.64.155.209,59334,443,1,0.108005,55,66,4073.885468,4888.662562,1,1,3492933121,3915748090
29.538104,142.250.198.74,192.168.212.39,443,54445,0,0.10996,74,75,5383.775919,5456.529647,1,1,0,0
30.522425,147.92.185.2,192.168.212.39,443,58646,1,0.438,151,91,2757.990868,1662.100457,2,1,1097630822,3931589220
35.011341,26.202.125.243,103.195.103.66,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.012477,26.202.125.243,103.195.103.66,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.013161,26.202.125.243,103.195.103.66,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.013639,26.202.125.243,79.127.159.187,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.014063,26.202.125.243,79.127.159.187,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.014621,26.202.125.243,79.127.159.187,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.015091,26.202.125.243,84.17.53.155,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.015542,26.202.125.243,84.17.53.155,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.015993,26.202.125.243,84.17.53.155,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.016395,26.202.125.243,185.152.67.145,9993,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.016696,192.168.212.39,192.168.212.1,54581,53,0,0.001851,88,466,380334.954079,2014046.461372,1,1,0,0
35.016929,26.202.125.243,185.152.67.145,45366,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.018793,26.202.125.243,185.152.67.145,64208,9993,0,0.0,179,0,0.0,0.0,1,0,0,0
35.019008,192.168.212.39,20.213.196.214,59671,443,1,2.739628,2220,5680,6482.631949,16586.193454,11,11,1947159748,411572760
43.156968,13.214.111.125,192.168.212.39,443,59324,1,0.220977,138,54,4995.995058,1954.954588,2,1,321669678,2058838865
11.247685,192.168.212.39,79.127.159.187,9993,9993,0,36.20521,1351,0,298.520572,0.0,17,0,0,0
47.011257,192.168.212.39,103.195.103.66,9993,9993,0,0.0,151,0,0.0,0.0,1,0,0,0
47.229604,192.168.212.39,84.17.53.155,45366,9993,0,0.0,151,0,0.0,0.0,1,0,0,0
47.341775,192.168.212.39,185.152.67.145,64208,9993,0,0.0,151,0,0.0,0.0,1,0,0,0
51.973624,192.168.212.39,23.46.63.130,59260,443,1,0.109341,55,66,4024.108066,4828.929679,1,1,4033111300,3995448380
52.194721,142.250.198.74,192.168.212.39,443,54445,0,0.218582,74,75,2708.365739,2744.965276,1,1,0,0
53.191094,192.168.212.39,192.168.212.1,51796,53,0,0.220238,78,142,2833.298523,5158.056285,1,1,0,0
53.521085,192.168.212.39,142.250.66.74,56732,443,0,5.936674,4599,25284,6197.409526,34071.603056,19,30,0,0
59.567642,104.18.39.21,192.168.212.39,443,59336,1,0.217103,138,82,5085.143918,3021.607256,2,1,2919391059,1980766938
19.427266,35.208.25.129,192.168.212.39,64182,9993,0,41.349397,1036,532,200.438231,102.92774,3,4,0,0
41.396287,192.168.212.39,40.81.252.176,58844,3544,0,21.033326,412,0,156.7037,0.0,4,0,0,0
64.400739,192.168.212.39,78.47.130.173,64693,443,1,0.438931,144,90,2624.558302,1640.348939,2,1,54175653,202166163
72.337558,192.168.212.39,175.183.33.121,64695,49695,1,0.552572,202,208,2924.505766,3011.372274,3,3,820017548,350187825
74.862517,192.168.212.39,142.250.198.67,59647,80,1,0.220355,108,60,3920.945747,2178.303193,2,1,2898908198,1273819028
75.855432,192.168.212.39,64.233.188.188,59311,5228,1,0.10806,55,66,4071.811956,4886.174348,1,1,3069458952,1235950508
