timeStamp,srcip,dstip,srcport,dstport,protocol,duration,srcbytes,dstbytes,srceff,dsteff,srcpkts,dstpkts,srcseq,dstseq
0.657456,52.182.143.214,192.168.1.156,443,58101,1,0.217936,153,54,5616.327729,1982.233316,1,1,1014197610,1940429102
1.217322,192.168.1.156,40.81.252.176,52169,3544,0,0.106904,103,151,7707.850034,11299.857816,1,1,0,0
2.187188,192.168.1.156,91.108.56.100,64606,443,1,0.759924,405,203,4263.584253,2137.055811,2,2,629618912,2173418284
7.958183,192.168.1.156,142.250.204.46,61081,443,0,0.159649,1117,326,55972.790309,16335.836742,3,4,0,0
8.114257,192.168.1.156,192.168.1.1,64336,53,0,0.220071,80,178,2908.152369,6470.639021,1,1,0,0
8.114257,192.168.1.156,192.168.1.1,64310,53,0,0.111599,80,138,5734.818412,9892.561761,1,1,0,0
8.442316,192.168.1.156,142.250.196.195,52572,443,0,1.227452,3770,4979,24571.225596,32450.963459,9,10,0,0
10.428503,20.27.177.116,192.168.1.156,443,58117,1,0.703164,291,279,3310.749697,3174.223936,4,4,2076280894,660760956
11.136245,20.27.177.116,192.168.1.156,443,58096,1,0.551238,231,108,3352.453931,1567.381059,3,2,894707771,1206819901
11.904651,20.27.177.116,192.168.1.156,443,58115,1,0.436529,231,108,4233.395719,1979.249947,3,2,3034210364,1305255555
12.452463,192.168.1.156,192.168.1.1,64194,53,0,0.219708,78,158,2840.133268,5753.090466,1,1,0,0
12.560699,192.168.1.156,192.168.1.1,58708,53,0,0.219984,78,202,2836.569932,7345.988799,1,1,0,0
14.989262,192.168.1.156,140.82.112.22,58156,443,1,0.903348,12010,859,106359.89674,7607.256561,3,6,948839972,1523567628
11.360888,162.159.134.234,192.168.1.156,443,56150,1,8.327794,566,108,543.721423,103.748964,2,2,4124976896,3278306148
22.969559,192.168.1.142,239.255.255.250,49646,1900,0,1.16592,501,0,3437.628654,0.0,3,0,0,0
26.055281,192.168.1.156,142.250.204.46,61081,443,0,0.265922,1424,265,42839.629666,7972.262543,3,3,0,0
12.887168,192.168.1.156,162.159.130.233,59796,443,0,17.102697,3440,6466,1609.102939,3024.55221,11,13,0,0
27.762456,26.77.150.215,224.0.0.251,5353,5353,0,1.626435,1211,0,5956.58603,0.0,6,0,0,0
27.76844,192.168.153.1,224.0.0.251,5353,5353,0,1.05217,1155,0,8781.850842,0.0,6,0,0,0
27.7695,192.168.190.1,224.0.0.251,5353,5353,0,1.054613,1155,0,8761.507776,0.0,6,0,0,0
29.394465,26.54.54.12,26.77.150.215,54873,7680,1,0.003048,375,174,984251.968504,456692.913386,5,3,204642595,790655342
25.774477,192.168.1.156,52.182.143.214,58101,443,1,4.817926,2913,333,4836.936059,552.935018,3,4,1940429102,1014197709
26.591024,192.168.1.156,162.159.129.232,64282,443,0,11.509395,2654,43540,1844.753786,30263.971303,22,38,0,0
31.563255,192.168.1.142,224.0.0.251,5353,5353,0,7.431889,206,0,221.747122,0.0,2,0,0,0
41.168467,192.168.1.156,45.121.184.101,52134,27019,1,0.976093,162,304,1327.742336,2491.565865,2,2,1668777642,1485198210
41.278961,192.168.1.156,142.250.196.196,52824,443,0,0.106283,71,66,5344.2225,4967.868803,1,1,0,0
42.359572,192.168.1.156,162.159.130.235,56149,443,1,0.647849,181,110,2235.088732,1358.341218,2,1,3345137084,3037581725
16.762651,192.168.1.156,162.159.128.233,57220,443,0,28.731494,30014,16499,8357.101096,4593.983174,39,29,0,0
46.797646,192.168.1.156,57.128.187.188,64605,17301,1,1.085877,144,150,1060.893637,1105.097539,2,2,3868574483,2804236075
46.90639,192.168.1.156,52.123.164.120,64618,443,1,0.652493,166,101,2035.270876,1238.327461,2,1,1292286555,2528087859
48.749669,192.168.1.156,13.107.246.74,58092,443,1,0.107969,55,66,4075.24382,4890.292584,1,1,2064683331,1420788447
49.61933,192.168.1.156,13.107.5.93,58090,443,1,0.111122,55,66,3959.611958,4751.53435,1,1,3830376332,115148830
50.711882,192.168.1.156,185.199.111.133,58091,443,1,0.431634,55,66,1019.382162,1223.258594,1,1,2904978315,629664138
54.09127,192.168.1.156,150.171.73.16,58102,443,1,0.061393,55,66,7166.940856,8600.329028,1,1,823933246,3479902605
53.142724,192.168.1.160,224.0.0.251,5353,5353,0,1.996751,1148,0,4599.471842,0.0,6,0,0,0
53.989612,192.168.1.142,239.255.255.250,49646,1900,0,0.272753,501,0,14694.613808,0.0,3,0,0,0
54.809705,192.168.1.156,52.123.164.131,56155,443,1,0.759868,158,93,1663.446809,979.117426,2,1,1501850627,2654182949
56.602394,192.168.1.156,150.171.73.16,58113,443,1,0.215034,55,66,2046.188045,2455.425654,1,1,3019662099,2952328883
56.710812,192.168.1.156,150.171.74.16,58114,443,1,0.216779,55,66,2029.716901,2435.660281,1,1,2654191774,3689322033
57.034471,192.168.1.156,210.71.227.97,58111,443,1,0.108482,55,66,4055.972419,4867.166903,1,1,116465004,1441711389
57.250663,192.168.1.156,210.71.227.160,58109,443,1,0.10743,55,66,4095.690217,4914.82826,1,1,2267871726,246995612
57.467632,192.168.1.156,140.82.113.21,58110,443,1,0.75942,55,66,579.389534,695.267441,1,1,2303714368,3752183091
58.01092,192.168.1.156,13.107.246.74,58128,443,1,0.106489,55,66,4131.882166,4958.258599,1,1,3474636433,849411692
58.989813,192.168.1.156,140.82.114.22,58124,443,1,0.647415,55,66,679.625897,815.551076,1,1,2930500125,1199766475
58.335601,192.168.1.160,239.255.255.250,59074,1900,0,3.152264,848,0,2152.104012,0.0,4,0,0,0
62.572739,91.108.56.100,192.168.1.156,443,64606,1,0.867749,610,54,5623.746037,497.839813,1,1,2173418373,629619209
65.618499,26.54.54.12,239.255.255.250,64405,1900,0,3.023175,848,0,2243.998445,0.0,4,0,0,0
68.930928,26.54.54.12,26.77.150.215,54914,7680,1,0.017492,375,174,171506.974617,79579.236222,5,3,4252042532,1295196759
71.123213,192.168.1.156,142.250.204.46,61081,443,0,1.239849,5422,539,34984.90542,3477.842866,7,5,0,0
74.099628,192.168.1.156,192.168.1.1,60385,53,0,0.109894,94,158,6842.957759,11501.992829,1,1,0,0
75.179522,192.168.1.156,40.81.252.176,52169,3544,0,0.982397,103,151,838.764776,1229.645449,1,1,0,0
75.838286,192.168.1.156,162.159.130.235,56149,443,1,0.541698,181,110,2673.076142,1624.521412,2,1,3345137157,3037581781
76.270439,192.168.1.156,224.0.0.253,52169,3544,0,0.0,82,0,0.0,0.0,1,0,0,0
75.032409,192.168.1.156,162.159.128.233,57220,443,0,7.428037,6088,1949,6556.779402,2099.074089,8,5,0,0
84.022291,192.168.1.142,239.255.255.250,49646,1900,0,0.686908,501,0,5834.842512,0.0,3,0,0,0
84.173157,192.168.1.156,140.82.112.22,58153,443,1,0.647909,55,66,679.107714,814.929257,1,1,3866704393,2461082527
85.037256,142.250.196.196,192.168.1.156,443,52824,0,0.0,108,0,0.0,0.0,1,0,0,0
86.508751,192.168.1.156,224.0.0.251,5353,5353,0,6.615923,1155,0,1396.630523,0.0,6,0,0,0
